Sample_Name,Microbiome,Sample,Rep,fq1,fq2
S7-LH60-1,S7,LH60,1,S7-LH60-1_L001_R1_001.fastq.gz,S7-LH60-1_L001_R2_001.fastq.gz
S4-LH60-1,S4,LH60,1,S4-LH60-1_L001_R1_001.fastq.gz,S4-LH60-1_L001_R2_001.fastq.gz
S9-LH60-2,S9,LH60,2,S9-LH60-2_L001_R1_001.fastq.gz,S9-LH60-2_L001_R2_001.fastq.gz
S3-LH60-1,S3,LH60,1,S3-LH60-1_L001_R1_001.fastq.gz,S3-LH60-1_L001_R2_001.fastq.gz
S5-LH60-2,S5,LH60,2,S5-LH60-2_L001_R1_001.fastq.gz,S5-LH60-2_L001_R2_001.fastq.gz
S21-LH60-2,S21,LH60,2,S21-LH60-2_L001_R1_001.fastq.gz,S21-LH60-2_L001_R2_001.fastq.gz
S22-LH60-2,S22,LH60,2,S22-LH60-2_L001_R1_001.fastq.gz,S22-LH60-2_L001_R2_001.fastq.gz
S4-LH60-2,S4,LH60,2,S4-LH60-2_L001_R1_001.fastq.gz,S4-LH60-2_L001_R2_001.fastq.gz
S14-LH60-2,S14,LH60,2,S14-LH60-2_L001_R1_001.fastq.gz,S14-LH60-2_L001_R2_001.fastq.gz
S20-LH60-2,S20,LH60,2,S20-LH60-2_L001_R1_001.fastq.gz,S20-LH60-2_L001_R2_001.fastq.gz
S17-LH60-1,S17,LH60,1,S17-LH60-1_L001_R1_001.fastq.gz,S17-LH60-1_L001_R2_001.fastq.gz
S24-LH60-2,S24,LH60,2,S24-LH60-2_L001_R1_001.fastq.gz,S24-LH60-2_L001_R2_001.fastq.gz
S18-LH60-2,S18,LH60,2,S18-LH60-2_L001_R1_001.fastq.gz,S18-LH60-2_L001_R2_001.fastq.gz
