B.gallicum,B.NA1,B.NA2,B.NA3,B.NA4,B.NA5,B.NA6,B.NA7,B.catenulatum,B.NA8,B.breve,B.adolescentis,B.bifidum,Sample_Name,Microbiome,Seed_Type,Reps
0,0,0,0,0,0,0,0,0,0,0,0,0,S7-HP301-2,S7,HP301,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S12-LH60-2,S12,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S6-LH60-2,S6,LH60,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S3-LH60-2,S3,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S15-LH60-2,S15,LH60,2
0,0,0,0,0,1,0,0,20,0,5,0,0,S9-LH60-1,S9,LH60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S2-LH60-1,S2,LH60,1
0,0,0,0,0,1,0,0,6,0,0,0,1,S18-LH60-1,S18,LH60,1
0,0,0,0,0,0,0,0,0,0,0,2,0,S19-LH60-2,S19,LH60,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S12-LH60-1,S12,LH60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-LH60-1,S22,LH60,1
0,0,0,0,0,0,0,0,0,0,4,0,1,S24-LH60-1,S24,LH60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-LH60-2,S16,LH60,2
0,0,0,0,0,0,0,0,7,0,3,0,0,S14-LH60-1,S14,LH60,1
0,0,0,0,0,0,0,0,0,0,0,2,0,S7-LH60-1,S7,LH60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-LH60-1,S4,LH60,1
0,0,0,0,0,1,1,0,17,0,7,0,0,S9-LH60-2,S9,LH60,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S3-LH60-1,S3,LH60,1
0,0,0,0,0,0,0,0,4,0,0,1,0,S5-LH60-2,S5,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,2,S21-LH60-2,S21,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-LH60-2,S22,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-LH60-2,S4,LH60,2
2,0,0,0,0,0,0,0,0,0,1,0,0,S14-LH60-2,S14,LH60,2
0,0,0,0,3,0,0,0,3,0,3,24,0,S20-LH60-2,S20,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S17-LH60-1,S17,LH60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S24-LH60-2,S24,LH60,2
0,0,0,0,0,0,0,0,3,0,0,0,0,S18-LH60-2,S18,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S1-LH60-1,S1,LH60,1
0,0,0,0,0,0,0,0,0,0,0,2,0,S5-LH60-1,S5,LH60,1
0,0,0,0,0,0,0,0,2,0,0,6,0,S1-LH60-2,S1,LH60,2
0,0,0,0,0,0,0,0,1,0,0,8,0,S19-LH60-1,S19,LH60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-LH60-1,S16,LH60,1
0,0,0,0,0,0,0,0,0,0,3,0,0,S6-LH60-1,S6,LH60,1
0,0,0,0,0,0,0,0,0,0,4,5,1,S2-LH60-2,S2,LH60,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S21-LH60-1,S21,LH60,1
0,0,0,0,0,0,0,0,0,1,0,0,0,S17-LH60-2,S17,LH60,2
0,0,0,0,0,0,0,0,0,0,0,2,0,S7-LH60-2,S7,LH60,2
0,0,0,0,0,0,0,0,0,0,4,0,0,S12-NC262-2,S12,NC262,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S3-NC262-2,S3,NC262,2
0,0,0,0,0,0,0,0,3,0,1,0,0,S15-NC262-2,S15,NC262,2
0,0,1,0,0,1,0,0,38,0,17,0,0,S9-NC262-1,S9,NC262,1
0,0,0,0,0,1,0,0,0,0,1,1,1,S2-NC262-1,S2,NC262,1
