Sample Name,CT,Microbiome,Seed_Name
S3-PHG47-2,25.292,S3,PHG47
S4-764-1,Undetermined,S4,764
S4-764-1,Undetermined,S4,764
S4-764-2,33.219,S4,764
S4-764-2,Undetermined,S4,764
S4-A554-1,Undetermined,S4,A554
S4-A554-1,Undetermined,S4,A554
S4-A554-2,Undetermined,S4,A554
S4-A554-2,Undetermined,S4,A554
S4-B57-1,Undetermined,S4,B57
S4-B57-1,Undetermined,S4,B57
S4-B57-2,33.875,S4,B57
S4-B57-2,33.544,S4,B57
S4-FBB0-1,Undetermined,S4,FBB0
S4-FBB0-1,Undetermined,S4,FBB0
S4-FBB0-2,Undetermined,S4,FBB0
S4-FBB0-2,34.397,S4,FBB0
S4-HP301-1,Undetermined,S4,HP301
S4-HP301-1,Undetermined,S4,HP301
S4-HP301-2,Undetermined,S4,HP301
S4-HP301-2,Undetermined,S4,HP301
S4-LH60-1,Undetermined,S4,LH60
S4-LH60-1,Undetermined,S4,LH60
S4-LH60-2,33.452,S4,LH60
S4-LH60-2,34.556,S4,LH60
S4-NC262-1,Undetermined,S4,NC262
S4-NC262-1,Undetermined,S4,NC262
S4-NC262-2,34.232,S4,NC262
S4-NC262-2,Undetermined,S4,NC262
S4-PHG35-1,Undetermined,S4,PHG35
S4-PHG35-1,Undetermined,S4,PHG35
S4-PHG35-2,33.222,S4,PHG35
S4-PHG35-2,Undetermined,S4,PHG35
S4-PHG39-1,Undetermined,S4,PHG39
S4-PHG39-1,Undetermined,S4,PHG39
S4-PHG39-2,Undetermined,S4,PHG39
S4-PHG39-2,33.987,S4,PHG39
S4-PHG47-1,Undetermined,S4,PHG47
S4-PHG47-1,Undetermined,S4,PHG47
S4-PHG47-2,Undetermined,S4,PHG47
S4-PHG47-2,Undetermined,S4,PHG47
S5-764-1,25.338,S5,764
S5-764-1,25.305,S5,764
S5-764-2,25.963,S5,764
S5-764-2,26.099,S5,764
S5-A554-1,25.278,S5,A554
S5-A554-1,25.428,S5,A554
S5-A554-2,27.513,S5,A554
S5-A554-2,27.181,S5,A554
S5-B57-1,26.006,S5,B57
S5-B57-1,25.621,S5,B57
S5-B57-2,28.999,S5,B57
S5-B57-2,28.743,S5,B57
S5-FBB0-1,28.387,S5,FBB0
S5-FBB0-1,27.509,S5,FBB0
S5-FBB0-2,29.624,S5,FBB0
S5-FBB0-2,29.061,S5,FBB0
S5-HP301-1,25.477,S5,HP301
S5-HP301-1,25.737,S5,HP301
S5-HP301-2,28.337,S5,HP301
S5-HP301-2,27.621,S5,HP301
S5-LH60-1,25.287,S5,LH60
S5-LH60-1,25.293,S5,LH60
S5-LH60-2,27.849,S5,LH60
S5-LH60-2,Undetermined,S5,LH60
S5-NC262-1,25.49,S5,NC262
S5-NC262-1,25.56,S5,NC262
S5-NC262-2,27.488,S5,NC262
S5-NC262-2,28.161,S5,NC262
S5-PHG35-1,24.876,S5,PHG35
S5-PHG35-1,24.433,S5,PHG35
S5-PHG35-2,27.628,S5,PHG35
S5-PHG35-2,26.727,S5,PHG35
S5-PHG39-1,25.725,S5,PHG39
S5-PHG39-1,25.132,S5,PHG39
S5-PHG39-2,26.316,S5,PHG39
