Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bif_adolescentis,Bif_breve,Bif_gallicum,Bif_catenulatum,Bif_bifidum,Bif_adolescentis_log2,Bif_breve_log2,Bif_gallicum_log2,Bif_catenulatum_log2,Bif_bifidum_log2
S3-LH60-2,S3,LH60,2,S3_LH60,0,1,0,0,0,0,1,0,0,0
S3-LH60-1,S3,LH60,1,S3_LH60,0,3,0,0,0,0,2,0,0,0
S3-NC262-2,S3,NC262,2,S3_NC262,0,0,0,0,0,0,0,0,0,0
S3-NC262-1,S3,NC262,1,S3_NC262,0,0,0,0,0,0,0,0,0,0
S3-PHG35-2,S3,PHG35,2,S3_PHG35,0,0,0,0,0,0,0,0,0,0
S3-PHG35-1,S3,PHG35,1,S3_PHG35,0,0,0,0,0,0,0,0,0,0
S3-PHG39-2,S3,PHG39,2,S3_PHG39,0,0,0,0,0,0,0,0,0,0
S3-PHG39-1,S3,PHG39,1,S3_PHG39,0,2,0,0,0,0,1.584962501,0,0,0
S3-PHG47-2,S3,PHG47,2,S3_PHG47,0,2,0,0,0,0,1.584962501,0,0,0
S3-PHG47-1,S3,PHG47,1,S3_PHG47,0,1,0,0,0,0,1,0,0,0
S4-764-1,S4,764,1,S4_764,0,0,0,0,0,0,0,0,0,0
S4-764-2,S4,764,2,S4_764,0,0,0,0,0,0,0,0,0,0
S4-A554-1,S4,A554,1,S4_A554,0,0,0,1,0,0,0,0,1,0
S4-A554-2,S4,A554,2,S4_A554,0,0,0,0,0,0,0,0,0,0
S4-B57-1,S4,B57,1,S4_B57,0,0,0,0,0,0,0,0,0,0
S4-B57-2,S4,B57,2,S4_B57,0,0,0,0,0,0,0,0,0,0
